episode,title,beach,bridge,building,bushes,clouds,fence,flowers,fog,framed,grass,lake,mountain,night,ocean,path,river,rocks,snow,sun,tree,waterfall
S01E01,A Walk In The Woods,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
S01E02,Mt. Mckinley,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
S01E03,Ebony Sunset,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
S01E04,Winter Mist,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
S01E05,Quiet Stream,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
S01E06,Winter Moon,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0
S01E07,Autumn Mountains,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
S01E08,Peaceful Valley,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
S01E09,Seascape,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S01E10,Mountain Lake,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
S01E11,Winter Glow,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
S01E12,Snowfall,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
S01E13,Final Reflections,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
S02E01,Meadow Lake,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0
S02E02,Winter Sun,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0
S02E03,Ebony Sea,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
S02E04,Shades Of Grey,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0
S02E05,Autumn Splendor,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
S02E06,Black River,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
S02E07,Brown Mountain,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0
S02E08,Reflections,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
S02E09,Black & White Seascape,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0
S02E10,Lazy River,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
S02E11,Black Waterfall,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1
S02E12,Mountain Waterfall,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1
S02E13,Final Grace,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
S03E01,Mountain Retreat,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
S03E02,Blue Moon,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
S03E03,Bubbling Stream,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0
S03E04,Winter Night,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
S03E05,Distant Hills,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
S03E06,Covered Bridge,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
S03E07,Quiet Inlet,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
S03E08,Night Light,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
S03E09,The Old Mill,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
S03E10,Campfire,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
S03E11,Rustic Barn,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
