,episode,title,beach,bridge,building,bushes,clouds,fence,flowers,fog,framed,grass,lake,mountain,night,ocean,path,river,rocks,snow,sun,tree,waterfall
0,S01E01,A Walk In The Woods,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
1,S01E02,Mt. Mckinley,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
2,S01E03,Ebony Sunset,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
3,S01E04,Winter Mist,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
4,S01E05,Quiet Stream,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
5,S01E06,Winter Moon,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0
6,S01E07,Autumn Mountains,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
7,S01E08,Peaceful Valley,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
8,S01E09,Seascape,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9,S01E10,Mountain Lake,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
10,S01E11,Winter Glow,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
11,S01E12,Snowfall,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
12,S01E13,Final Reflections,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
13,S02E01,Meadow Lake,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0
14,S02E02,Winter Sun,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0
15,S02E03,Ebony Sea,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
16,S02E04,Shades Of Grey,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0
17,S02E05,Autumn Splendor,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
18,S02E06,Black River,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
